id,PyEGo,DockerizeMe-3.8,DockerizeMe-3.9,pipreqs-3.8,pipreqs-3.9
tiler,√,×,×,×,×
metaflow,√,×,×,×,×
tinygrad,√,×,×,√,√
sktime,×,×,×,×,×
scalene,√,√,√,√,√
Python-crawler-tutorial-starts-from-zero,√,×,×,√,√
jd-assistant,√,√,√,√,√
autoscraper,√,×,×,√,√
bullet,√,√,√,√,√
pipx,×,×,×,√,√
DeepLearning,√,×,×,√,×
OneForAll,√,×,×,×,×
learn_math_fast,√,√,√,√,√
akshare,×,×,×,√,√
Summer2021-Internships,√,√,√,√,√
koalas,×,√,√,×,×
kb,√,×,×,×,√
ResNeSt,√,√,√,×,×
ECommerceCrawlers-TouTiao,√,×,×,√,√
ECommerceCrawlers-East_money,√,×,×,√,√
RAdam,√,√,√,√,√
newscatcher,√,√,√,√,√
GitHub520,×,×,×,√,√
vit-pytorch,√,√,√,×,√
VideoPose3D,√,√,√,√,√
real-url,√,×,×,√,√
clearml,×,×,×,×,×
captum,×,×,×,√,√
UGATIT-pytorch,×,×,×,×,×
arxiv-latex-cleaner,√,×,×,×,×
GeneralNewsExtractor,√,×,×,√,√
DXY-COVID-19-Crawler,×,×,×,×,×
facenet-pytorch,√,×,×,√,×
PrettyErrors,√,√,√,√,√
m2cgen,√,√,√,√,√
dirmap,√,×,×,×,√
latexify_py,√,×,×,×,×
springer_free_books,×,×,×,×,×
stumpy,×,×,×,√,×
SegLoss,√,√,√,√,√
coding-problems,√,×,×,√,√
dongbei,√,√,√,√,√
returns,√,×,×,√,√
xxh,√,×,×,√,√
apistar,√,×,×,×,√
pandarallel,√,×,×,×,√
DecryptLogin,√,×,×,×,×
webpy,×,×,×,×,×
SSRFmap,√,×,×,√,√
python-for-absolute-beginners-course,×,√,√,√,√
lambda-networks,√,×,×,√,×
dimensionality_reduction_alo_codes,×,×,×,√,×
pytorch-openai-transformer-lm,√,×,×,√,√
finetune-transformer-lm,√,×,×,√,×
data-science-blogs,√,×,×,√,√
SSRSpeed,×,×,×,√,√
dirsearch,×,×,×,×,×
CVE-2020-1472,√,×,×,√,√
30-Days-Of-Python,√,√,√,√,√
Vxscan,√,×,×,×,×
mnssp3-DNA,√,√,√,×,×
mnssp3-EMR,√,×,×,×,×
mnssp3-EEG,×,×,×,×,×
proxylessnas,√,×,×,√,√
sweetviz,√,√,√,√,√
policy_sentry,√,×,×,√,√
noisy,√,×,×,√,√
pytorch-meta,√,√,√,×,×
links-uteis,√,√,√,√,√
WeblogicScan,√,×,×,√,√
heartrate,√,×,×,√,√
gitGraber,√,×,×,√,√
karateclub,√,×,×,√,×
archivy,√,√,√,×,×
gcn,×,×,×,×,×
leedeeprl-notes,×,×,×,×,×
django-vue-template,√,×,×,√,√
GScan,√,√,√,√,√
distribution-is-all-you-need,√,√,√,√,√
flops-counter.pytorch,√,√,√,√,√
PyInquirer,√,×,×,√,√
sparse_attention,×,×,×,×,×
micronet,√,√,√,×,×
machine_learning_examples,√,×,×,×,×
BlueKeep,√,√,√,√,√
wechat_friends,×,√,√,√,√
petastorm,×,×,×,×,×
blackhat-python3,×,×,×,×,×
neural_prophet,×,×,×,×,×
pyp,√,√,√,√,√
SimpleHTR,√,×,×,×,×
SuperGluePretrainedNetwork,√,×,×,×,×
SuperPointPretrainedNetwork,√,×,×,×,×
pydub,×,×,×,×,×
efficientnet,√,×,×,×,×
tensorflow-yolov3,×,×,×,×,×
BERT-BiLSTM-CRF-NER,×,×,×,×,×
mars,×,×,×,×,×
jina,×,×,×,×,×
starlette,√,√,√,√,√
#√,71,30,30,57,55
